INFO:root: Found DS18B20 sensor 28-800000262ce2 (2017-02-10 09:31:21; pi-st.py:50)
INFO:root: Found DS18B20 sensor 28-800000272f0f (2017-02-10 09:31:21; pi-st.py:50)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:31:21; connectionpool.py:697)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:31:22; connectionpool.py:697)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:31:23; connectionpool.py:697)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:31:23; connectionpool.py:697)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:32:24; connectionpool.py:697)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:32:25; connectionpool.py:697)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:32:40; connectionpool.py:697)
INFO:root: Found DS18B20 sensor 28-800000262ce2 (2017-02-10 09:35:48; pi-st.py:50)
INFO:root: Found DS18B20 sensor 28-800000272f0f (2017-02-10 09:35:48; pi-st.py:50)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:35:48; connectionpool.py:697)
INFO:root: Endpoint URL for Test waterproof sensor found!... (2017-02-10 09:35:49; pi-st.py:95)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:35:49; connectionpool.py:697)
INFO:root: Endpoint URL for Test mini sensor found!... (2017-02-10 09:35:49; pi-st.py:95)
INFO:root: Niter: 120	date: 2017-02-10 09:35:49	dsname: Test waterproof sensor	temp_f: 80.7116 (2017-02-10 09:35:49; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:35:49; connectionpool.py:697)
INFO:root: Niter: 120	date: 2017-02-10 09:35:50	dsname: Test mini sensor	temp_f: 74.975 (2017-02-10 09:35:50; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:35:50; connectionpool.py:697)
INFO:root: Niter: 119	date: 2017-02-10 09:36:05	dsname: Test waterproof sensor	temp_f: 75.98660000000001 (2017-02-10 09:36:05; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:36:05; connectionpool.py:697)
INFO:root: Niter: 119	date: 2017-02-10 09:36:06	dsname: Test mini sensor	temp_f: 75.2 (2017-02-10 09:36:06; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:36:06; connectionpool.py:697)
INFO:root: Niter: 118	date: 2017-02-10 09:36:21	dsname: Test waterproof sensor	temp_f: 75.875 (2017-02-10 09:36:21; pi-st.py:114)
